Unnamed: 0,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop,Continent
190,Monaco,11480,0,54,0,11245.0,0.0,181.0,4,288870,1359.0,54960,1382955,39741,Europe
191,Saint Martin,10279,0,63,0,1399.0,0.0,8817.0,7,257949,1581.0,112382,2820196,39849,North America
192,Sint Maarten,9920,0,86,0,9753.0,0.0,81.0,10,226748,1966.0,62056,1418455,43749,
193,Eritrea,9733,0,103,0,9629.0,0.0,1.0,0,2678,28.0,23693,6519,3634475,Africa
194,Caribbean Netherlands,9561,0,34,0,9355.0,0.0,172.0,0,358627,1275.0,30126,1130008,26660,
195,Tonga,9106,0,11,0,7622.0,0.0,1473.0,0,84437,102.0,378306,3507900,107844,Oceania
196,Niger,8893,0,308,0,8496.0,0.0,89.0,1,345,12.0,247851,9615,25777253,Africa
197,Guinea-Bissau,8182,0,171,0,7476.0,0.0,535.0,6,3988,83.0,132325,64504,2051413,Africa
198,Comoros,8100,0,160,0,7933.0,0.0,7.0,0,8972,177.0,0,0,902823,Africa
199,Sierra Leone,7681,0,125,0,,,,0,929,15.0,259958,31442,8267927,Africa
200,Antigua and Barbuda,7539,0,135,0,7377.0,0.0,27.0,1,75857,1358.0,18901,190182,99384,North America
201,Liberia,7432,0,294,0,5747.0,0.0,1391.0,2,1410,56.0,139824,26528,5270857,Africa
202,Chad,7396,0,193,0,4874.0,0.0,2329.0,0,428,11.0,191341,11079,17270935,Africa
203,St. Vincent Grenadines,6751,0,106,0,6641.0,0.0,4.0,0,60508,950.0,98713,884747,111572,
204,Vanuatu,6458,41,7,0,5638.0,188.0,813.0,0,20180,22.0,24976,78046,320016,Oceania
205,Samoa,6309,0,13,0,1605.0,0.0,4691.0,4,31422,65.0,45696,227592,200780,Oceania
206,British Virgin Islands,6162,0,62,0,,,,1,201425,2027.0,102294,3343815,30592,North America
207,Sao Tome and Principe,5953,0,73,0,5875.0,0.0,5.0,0,26287,322.0,29036,128217,226459,Africa
208,Turks and Caicos,5936,0,36,0,5862.0,0.0,38.0,4,149684,908.0,447713,11289634,39657,North America
209,Saint Kitts and Nevis,5561,0,43,0,5512.0,0.0,6.0,0,103222,798.0,65141,1209136,53874,North America
210,St. Barth,4432,0,6,0,,,,0,446279,604.0,78646,7919243,9931,
211,Cook Islands,4201,0,0,0,3698.0,0.0,503.0,0,238788,0.0,15195,863696,17593,Oceania
212,Palau,4190,0,6,0,3803.0,0.0,381.0,0,229602,329.0,42790,2344786,18249,Oceania
213,Kiribati,3076,0,13,0,2597.0,0.0,466.0,3,25062,106.0,0,0,122737,Oceania
214,Anguilla,2731,0,9,0,2716.0,0.0,6.0,4,179164,590.0,51382,3370859,15243,North America
